Table 1: E-4 Population Estimates for Counties and State 2011-2020 with 2010 Benchmark,,,,,,,,,,,,,,,
COUNTY,4/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,4/1/2020,Column1,Column2,
Plumas              ," 20,007 "," 19,977 "," 19,700 "," 19,345 "," 19,120 "," 19,035 "," 19,017 "," 19,365 "," 19,388 "," 19,655 "," 19,780 "," 19,790 ",,,
Riverside           ," 2,189,641 "," 2,213,474 "," 2,239,478 "," 2,260,809 "," 2,280,208 "," 2,302,000 "," 2,326,213 "," 2,355,286 "," 2,375,547 "," 2,394,094 "," 2,412,908 "," 2,418,185 ",,,
Sacramento," 1,418,788 "," 1,431,665 "," 1,447,519 "," 1,461,786 "," 1,476,829 "," 1,495,130 "," 1,511,942 "," 1,530,548 "," 1,547,095 "," 1,562,887 "," 1,580,826 "," 1,585,055 ",,,
San Benito  ," 55,269 "," 55,835 "," 56,778 "," 57,386 "," 58,212 "," 58,839 "," 59,563 "," 60,499 "," 61,143 "," 62,734 "," 63,931 "," 64,209 ",,,
San Bernardino    ," 2,035,210 "," 2,055,566 "," 2,072,061 "," 2,085,599 "," 2,096,526 "," 2,114,182 "," 2,124,990 "," 2,142,339 "," 2,153,258 "," 2,169,538 "," 2,179,505 "," 2,181,654 ",,,
San Diego           ," 3,095,313 "," 3,124,985 "," 3,155,715 "," 3,190,323 "," 3,219,710 "," 3,248,180 "," 3,263,004 "," 3,279,856 "," 3,294,139 "," 3,302,865 "," 3,297,350 "," 3,298,634 ",,,
San Francisco," 805,235 "," 815,714 "," 826,354 "," 839,556 "," 846,661 "," 855,489 "," 861,977 "," 867,378 "," 872,724 "," 872,219 "," 873,444 "," 873,965 ",,,
San Joaquin," 685,306 "," 692,465 "," 699,719 "," 705,545 "," 712,387 "," 724,185 "," 735,670 "," 747,119 "," 755,573 "," 767,324 "," 776,794 "," 779,233 ",,,
San Luis Obispo     ," 269,637 "," 270,396 "," 272,951 "," 275,482 "," 278,272 "," 279,620 "," 281,046 "," 282,284 "," 282,754 "," 282,935 "," 282,484 "," 282,424 ",,,
San Mateo           ," 718,451 "," 726,265 "," 735,915 "," 745,842 "," 751,906 "," 758,673 "," 763,530 "," 765,207 "," 766,114 "," 765,726 "," 765,009 "," 764,442 ",,,
Santa Barbara       ," 423,895 "," 424,822 "," 427,960 "," 432,485 "," 437,066 "," 440,902 "," 444,102 "," 445,716 "," 447,377 "," 447,907 "," 448,408 "," 448,229 ",,,
Santa Clara         ," 1,781,642 "," 1,805,407 "," 1,833,344 "," 1,861,489 "," 1,883,691 "," 1,907,380 "," 1,923,243 "," 1,930,897 "," 1,936,569 "," 1,936,821 "," 1,936,352 "," 1,936,259 ",,,
Santa Cruz          ," 262,382 "," 265,364 "," 267,492 "," 269,714 "," 271,559 "," 274,207 "," 275,625 "," 275,410 "," 274,274 "," 272,618 "," 271,259 "," 270,861 ",,,
Shasta              ," 177,223 "," 178,218 "," 178,865 "," 180,106 "," 180,826 "," 181,253 "," 180,374 "," 180,810 "," 181,792 "," 181,573 "," 181,926 "," 182,155 ",,,
Sierra              ," 3,240 "," 3,244 "," 3,239 "," 3,225 "," 3,218 "," 3,214 "," 3,222 "," 3,236 "," 3,243 "," 3,241 "," 3,235 "," 3,236 ",,,
Siskiyou            ," 44,900 "," 44,937 "," 44,778 "," 44,726 "," 44,674 "," 44,550 "," 44,497 "," 44,377 "," 44,315 "," 44,273 "," 44,111 "," 44,076 ",,,
Solano              ," 413,344 "," 414,084 "," 418,963 "," 423,373 "," 428,671 "," 433,545 "," 438,420 "," 444,713 "," 447,744 "," 450,545 "," 452,957 "," 453,491 ",,,
Sonoma              ," 483,878 "," 485,975 "," 488,601 "," 492,751 "," 496,615 "," 499,963 "," 501,553 "," 502,454 "," 499,410 "," 494,708 "," 490,008 "," 488,863 ",,,
Stanislaus          ," 514,453 "," 517,840 "," 521,723 "," 525,173 "," 528,123 "," 532,534 "," 537,785 "," 545,273 "," 548,363 "," 550,947 "," 552,488 "," 552,878 ",,,
Sutter              ," 94,737 "," 94,535 "," 94,718 "," 94,496 "," 95,103 "," 95,421 "," 96,065 "," 97,649 "," 99,498 "," 101,531 "," 100,058 "," 99,633 ",,,
Tehama              ," 63,463 "," 63,337 "," 63,202 "," 63,257 "," 63,067 "," 63,405 "," 64,017 "," 64,304 "," 64,789 "," 65,030 "," 65,674 "," 65,829 ",,,
Trinity             ," 13,786 "," 13,945 "," 14,193 "," 14,442 "," 14,692 "," 14,906 "," 15,136 "," 15,381 "," 15,642 "," 15,898 "," 16,070 "," 16,112 ",,,
Tulare              ," 442,179 "," 445,415 "," 449,884 "," 453,530 "," 455,774 "," 458,186 "," 461,170 "," 463,514 "," 466,766 "," 469,228 "," 472,371 "," 473,117 ",,,
Tuolumne            ," 55,365 "," 55,306 "," 55,100 "," 55,109 "," 55,315 "," 54,956 "," 55,303 "," 55,133 "," 55,213 "," 55,074 "," 55,529 "," 55,620 ",,,
Ventura             ," 823,318 "," 830,196 "," 835,510 "," 841,501 "," 846,456 "," 849,950 "," 851,155 "," 850,424 "," 850,604 "," 847,064 "," 844,339 "," 843,843 ",,,
Yolo                ," 200,849 "," 202,769 "," 204,087 "," 206,386 "," 206,708 "," 208,343 "," 211,938 "," 214,387 "," 215,708 "," 215,874 "," 216,306 "," 216,403 ",,,
Yuba                ," 72,155 "," 72,841 "," 73,501 "," 74,114 "," 74,755 "," 75,374 "," 76,245 "," 77,751 "," 78,751 "," 79,619 "," 81,178 "," 81,575 ",,,
State Total," 37,253,956 "," 37,552,880 "," 37,904,303 "," 38,237,859 "," 38,513,119 "," 38,810,306 "," 39,036,749 "," 39,273,915 "," 39,429,439 "," 39,503,656 "," 39,535,623 "," 39,538,223 ",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
